type,difficulty,category,question,correct_answer,option1,option2,option3,option4
boolean,easy,Entertainment: Video Games,"In the 'Half-Life' series, 'H.E.V' stands for 'Hazardous Evasiveness Vest'",False,,True,False,
multiple,medium,Geography,What is the fifth largest country by area?,Brazil,United States,Brazil,Australia,India
multiple,easy,Entertainment: Music,Who performed 'I Took A Pill In Ibiza'?,Mike Posner,Avicii,Mike Posner,Harry Styles,Robbie Williams
boolean,easy,Entertainment: Japanese Anime & Manga,Gosho Aoyama Made This Series: (Detective Conan / Case Closed!),True,,,True,False
multiple,hard,Entertainment: Film,"In the Friday The 13th series, what year did Jason drown in?",1957,1955,1953,1959,1957
multiple,hard,History,Which is the hull NO. of the Fletcher class destroyer Fletcher?,DD-445,DD-445,DD-992,DD-446,DD-444
multiple,medium,History,During which American Civil War campaign did Union troops dig a tunnel beneath Confederate troops to detonate explosives underneath them?,Siege of Petersburg,Siege of Petersburg,Gettysburg Campagin,Siege of Vicksburg,Antietam Campaign
boolean,medium,Science: Computers,The very first recorded computer 'bug' was a moth found inside a Harvard Mark II computer.,True,,True,,False
multiple,easy,Geography,Where would you find the 'Spanish Steps'?,"Rome, Italy","Barcelona, Spain","Berlin, Germany","Rome, Italy","London, England"
boolean,medium,Entertainment: Comics,"In the webcomic Homestuck, the first character introduced is Dave Strider.",False,False,,,True
multiple,easy,Entertainment: Music,What Led Zeppelin album contains 'Stairway to Heaven'?,Led Zeppelin IV,Led Zeppelin IV,Led Zeppelin III,Houses of the Holy,Physical Graffiti
boolean,medium,Entertainment: Video Games,"During pre-production of 'Super Mario Bros.', Mario originally was meant to shoot bullets.",True,,False,True,
multiple,medium,Entertainment: Video Games,"In 'Call of Duty: Black Ops III' Zombies, what does completing all the main easter eggs reward you with?","1,000,000 XP",All three options.,"1,000,000 XP",Juggernog at the start of each game,50 Liquid Diviniums
boolean,medium,Science & Nature,'Tachycardia' or 'Tachyarrhythmia' refers to a resting heart-rate near or over 100 BPM.,True,,,False,True
multiple,medium,Entertainment: Video Games,"In Fallout 4, which type of power armor is first encountered in the early mission 'When Freedom Calls' in a crashed Vertibird?",T-45,T-45,X-01,T-51,T-60
multiple,medium,Geography,How many countries share a land border with Luxembourg?,3,2,4,5,3
multiple,medium,Science & Nature,"In Psychology, which need appears highest in the 'Maslow's hierarchy of needs' pyramid?",Esteem,Esteem,Love,Physiological,Safety
multiple,hard,Entertainment: Film,"In the film 'Harry Potter and the Order of The Phoenix', why was Harry Potter's scream, after Sirius Black died, muted?",Too Agonizing,Too Violent,Too Loud,Too Harsh,Too Agonizing
multiple,hard,Entertainment: Japanese Anime & Manga,Which of the following countries does 'JoJo's Bizarre Adventure: Stardust Crusaders' not take place in?,Philippines,Philippines,Pakistan,India,Egypt
multiple,hard,Science & Nature,Which of the following are cells of the adaptive immune system?,Cytotoxic T cells,Natural killer cells,Cytotoxic T cells,White blood cells,Dendritic cells
multiple,easy,Entertainment: Television,"In the TV show 'Mad Men', what was Donald Draper's birthname?",Richard 'Dick' Whitman,John Ashbury,Richard 'Dick' Whitman,Donald Draper,Michael 'Mikey' Wilhelm
multiple,medium,Science: Computers,What is the main CPU is the Sega Mega Drive / Sega Genesis?,Motorola 68000,Motorola 68000,Intel 8088,Zilog Z80,Yamaha YM2612
multiple,medium,Entertainment: Video Games,Which of these characters was NOT planned to be playable for Super Smash Bros. 64?,Peach,Bowser,Mewtwo,Peach,King Dedede
multiple,hard,Entertainment: Japanese Anime & Manga,Who is the horror manga artist who made Uzumaki?,Junji Ito,Kazuo Umezu,Shintaro Kago,Junji Ito,Sui Ishida
multiple,medium,Science: Gadgets,What are the base station trackers used for the HTC Vive called?,Lighthouse,Motion,Constellation ,Lighthouse,Trackers
multiple,medium,Entertainment: Board Games,"At the start of a standard game of the Monopoly, if you throw a double six, which square would you land on?",Electric Company,Electric Company,Water Works,Chance,Community Chest
multiple,easy,Entertainment: Film,"This movie contains the quote, 'Houston, we have a problem.'",Apollo 13,Apollo 13,The Right Stuff,Capricorn One,Marooned
boolean,medium,Entertainment: Music,"Dave Grohl recorded the Foo Fighters' debut, 'Foo Fighters,' by himself.",True,,False,,True
multiple,medium,History,Which dictator killed the most people?,Mao Zedong,Kim Il Sung,Adolf Hitler,Joseph Stalin,Mao Zedong
multiple,easy,Sports,"Which player holds the NHL record of 2,857 points?",Wayne Gretzky,Mario Lemieux ,Gordie Howe,Wayne Gretzky,Sidney Crosby
boolean,easy,Entertainment: Music,"The alternative rock band, They Might Be Giants, released their album 'Flood' in 1990. ",True,,False,True,
multiple,easy,Entertainment: Japanese Anime & Manga,In the anime Noragami who is one of the main protagonists?,Yukine,Yukine,Karuha,Mineha,Mayu
multiple,easy,Entertainment: Video Games,What was the name of the cancelled sequel of Team Fortress?,Team Fortress 2: Brotherhood of Arms,Team Fortress 2: Desert Mercenaries,Team Fortress 2: Operation Gear Grinder,Team Fortress 2: Brotherhood of Arms,Team Fortress 2: Return to Classic
multiple,medium,Entertainment: Video Games,"In the Half-Life franchise, what is the real name of the 'gravity gun'?",Zero-Point Energy Field Manipulator,Quantum Energy Displacement Modifier,Universal Gravity Manipulation Device,Isaac Newton's Theory Disprover,Zero-Point Energy Field Manipulator
multiple,easy,Entertainment: Film,Which movie released in 2016 features Superman and Batman fighting?,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,Batman v Superman: Knightfall,Batman v Superman: Black of Knight,Batman v Superman: Superapocalypse
multiple,medium,Entertainment: Film,"In the 'Jurassic Park' universe, what is the name of the island that contains InGen's Site B?",Isla Sorna,Isla Nublar,Isla Sorna,Isla Muerta,Isla Pena
multiple,medium,Entertainment: Video Games,Which game is NOT part of the Science Adventure series by 5pb. and Nitroplus?,Occultic; Nine,Occultic; Nine,Chaos; Child,Steins; Gate,Robotics; Notes
boolean,medium,Science & Nature,The 'Gympie Stinger' is the deadliest plant in the world.,False,True,,False,
multiple,medium,Entertainment: Music,Who is the artist of the recent new album the Uncanny Valley?,Perturbator,Carpenter Brut,GOST,Dan Terminus ,Perturbator
boolean,medium,Entertainment: Cartoon & Animations,"In 'Avatar: The Last Airbender' and 'The Legend of Korra', Lavabending is a specialized bending technique of Firebending.",False,,False,,True
multiple,easy,Entertainment: Video Games,In what year was Garry's Mod released as a standalone title on Valve's Steam distribution service?,2006,2004,2003,2006,2007
multiple,medium,Celebrities,Nikki Diamond portrayed which Gladiator in the 1992 TV show 'Gladiators'?,Scorpio,Falcon,Nightshade,Jet,Scorpio
multiple,easy,Entertainment: Film,What was the first feature-length computer-animated movie?,Toy Story,Tron,Lion king,101 Dalmatians,Toy Story
multiple,medium,Entertainment: Musicals & Theatres,What play is the quote 'Hell is other people' from?,No Exit,The Flies,No Exit,The Condemned of Altona,The Devil and the Good Lord
boolean,easy,General Knowledge,Video streaming website YouTube was purchased in it's entirety by Facebook for US$1.65 billion in stock.,False,,,False,True
multiple,hard,Geography,In 2012 the German-speaking microstate 'Liechtenstein' in Central Europe had a population of how many inhabitants?,"36,600","36,600","90,000","2,400","323,400"
multiple,easy,Mythology,This Greek goddess's name was chosen for the dwarf planet responsible for discord on Pluto's classification amongst astronomers.,Eris,Charon,Eris,Ceres,Dysnomia
multiple,medium,Entertainment: Video Games,How many Star Spirits do you rescue in the Nintendo 64 video game 'Paper Mario'?,7,7,12,5,10
multiple,hard,Vehicles,Which one of the following is NOT a sub-company of the Volkswagen Group?,Opel,Porsche,Bentley,Bugatti,Opel
multiple,medium,Entertainment: Music,Liam Howlett founded which electronic music group in 1990?,The Prodigy,The Chemical Brothers,The Prodigy,Infected Mushroom,The Crystal Method
multiple,medium,Entertainment: Board Games,"In Yu-Gi-Oh, how does a player perform an Xyz Summon?",Overlay at least 2 Monsters of the Same Level,Activate a Spell and Send Monsters to the Graveyard,Banish A Number of Monsters From Your Hand And Deck,Overlay at least 2 Monsters of the Same Level,Add the Monsters' Levels Together to Match the Xyz Monster
multiple,medium,Entertainment: Video Games,Which of the following characters were considered for inclusion in Super Smash Bros. Melee?,Lucas,Mega Man,Diddy Kong,Meta Knight,Lucas
multiple,medium,Animals,Cashmere is the wool from which kind of animal?,Goat,Goat,Llama,Sheep,Camel
boolean,medium,Science & Nature,Steel is an alloy of Iron and Carbon.,True,,True,,False
multiple,medium,Entertainment: Japanese Anime & Manga,What colour hair does the main character of the Yu-Gi-Oh! original anime series have?,"Red, black and yellow","Red, purple and blue","Red, black and yellow","Red, black and green","Red, yellow and green"
boolean,easy,Entertainment: Music,Daft Punk originated in France.,True,,,False,True
multiple,medium,Entertainment: Music,When did The Beatles release the LP 'Please Please Me'?,1963,1963,1960,1969,1970
multiple,hard,Science: Computers,Which RAID array type is associated with data mirroring?,RAID 1,RAID 0,RAID 10,RAID 1,RAID 5
multiple,easy,Science: Computers,What is the domain name for the country Tuvalu?,.tv,.tu,.tv,.tt,.tl
multiple,medium,Science & Nature,"When the Falcon Heavy was launched on it's test flight, what was the only part of the operation that failed?",Center Core Landing,Deployment of Starman,Center Core Landing,Side Booster Landing,Ignition and Liftoff
boolean,easy,Animals,Rabbits can see what's behind themselves without turning their heads.,True,True,False,,
multiple,hard,Entertainment: Video Games,"In the game Call of Duty, what is the last level where you play as an American soldier?",Festung Recogne,Ste. Mere-Eglise (Day),Brecourt,Festung Recogne,Chateau
multiple,medium,Geography,What is the capital of Estonia?,Tallinn,Tartu,Tallinn,Helsinki,Riga
multiple,easy,History,What country joined the EU in 2013?,Croatia,Turkey,Croatia,Slovenia,Bulgaria
multiple,medium,General Knowledge,What is real haggis made of?,"Sheep's Heart, Liver and Lungs","Sheep's Liver, Kidneys and Eyes",Whole Sheep,"Sheep's Heart, Liver and Lungs","Sheep's Heart, Kidneys and Lungs"
multiple,easy,Entertainment: Video Games,"In the Video Game, Half-life, what type of US military force starts clearing out the Black Mesa Research Facility?",The HECU,Navy Seals,The HECU,The Combine,The Marines
multiple,medium,Entertainment: Video Games,"In the game Pok&eacute;mon Conquest, how many kingdoms make up the region of Ransei?",17,16,15,17,18
multiple,easy,Entertainment: Music,Which classical composer wrote the 'Moonlight Sonata'?,Ludvig Van Beethoven,Wolfgang Amadeus Mozart,Johannes Brahms,Chief Keef,Ludvig Van Beethoven
multiple,medium,Entertainment: Board Games,"In Chess, the Queen has the combined movement of which two pieces?",Bishop and Rook,Rook and King,King and Knight,Bishop and Rook,Knight and Bishop
multiple,medium,Politics,What is former United States President Bill Clinton's full name?,William Jefferson Clinton,William Jefferson Clinton,William Roosevelt Clinton,William Lincoln Clinton,William Truman Clinton
multiple,easy,Entertainment: Film,When was the movie 'Con Air' released?,1997,1985,1997,1990,1999
multiple,medium,History,Which of the following snipers has the highest amount of confirmed kills?,Simo H&auml;yh&auml;,Craig Harrison,Vasily Zaytsev,Simo H&auml;yh&auml;,Chris Kyle
boolean,medium,Entertainment: Video Games,Hidden in the files for 'Mario Kart Arcade GP' is a picture of the Beslan school hostage crisis.,True,,False,True,
multiple,hard,Entertainment: Video Games,"In the game Enter the Gungeon, which one of these is not a playable character?",The Wizard,The Bullet,The Wizard,The Robot,The Cultist
multiple,medium,Science & Nature,Deuterium is an isotope of which element?,Hydrogen,Hydrogen,Nitrogen,Helium,Neon
multiple,medium,General Knowledge,What is the romanized Russian word for 'winter'?,Zima,Zima,Leto,Vesna,Osen'
multiple,medium,Entertainment: Japanese Anime & Manga,What year did the anime 'Himouto! Umaru-chan' air?,2015,2014,2012,2015,2013
multiple,medium,Animals,What dog bread is one of the oldest breeds of dog and has flourished since before 400 BCE.,Pugs,Boxers,Chihuahua,Bulldogs,Pugs
multiple,easy,Entertainment: Television,What is the name of the planet that the Doctor from television series 'Doctor Who' comes from?,Gallifrey,Mondas,Sontar,Skaro,Gallifrey
boolean,easy,Entertainment: Film,Shaquille O'Neal appeared in the 1997 film 'Space Jam'.,False,True,,False,
multiple,easy,Entertainment: Video Games,"In Grand Theft Auto V, what was Michael De Santa's former surname?",Townley,De Santos,Watson,Simpson,Townley
multiple,hard,Entertainment: Music,What year was Huun Huur Tu's album Altai Sayan Tandy-Uula released? ,2004,2006,2004,2010,1993
multiple,medium,Entertainment: Film,What is the name of the villian in the 2015 Russian-American Sci-Fi Movie 'Hardcore Henry'?,Akan,Henry,Estelle,Akan,Jimmy
multiple,medium,General Knowledge,The term 'scientist' was coined in which year?,1833,1933,1942,1796,1833
multiple,medium,Politics,Who became Prime Minister of the United Kingdom in July 2016?,Theresa May,David Cameron,Tony Blair,Boris Johnson,Theresa May
multiple,easy,Entertainment: Film,In the movie 'Cast Away' the main protagonist's best friend while on the island is named,Wilson,Wilson,Willy,Jackson,Carson
multiple,medium,Entertainment: Music,"Which of these songs by artist Eminem contain the lyric 'Nice to meet you. Hi, my name is... I forgot my name!'?",Rain Man,Without Me,Kim,Rain Man,Square Dance
multiple,medium,Sports,With which team did Michael Schumacher make his Formula One debut at the 1991 Belgian Grand Prix?,Jordan,Mercedes,Benetton,Jordan,Ferrari
multiple,easy,Sports,When was the first official international game played?,1872,1872,1865,1863,1880
multiple,easy,Entertainment: Video Games,Rocket League is a game which features..,Cars,Cars,Planes,Submarines,Helicopters
multiple,hard,History,Which naval battle was considered the turning point of the Pacific Ocean Theater during World War 2?,Battle of Midway,Battle of the Coral Sea,Battle of Midway,Attack on Pearl Harbor,Attack on Truk Island
multiple,medium,Entertainment: Video Games,"In the game Destiny, who succeeded Peter Dinklage in voicing the protagonist's 'Ghost'?",Nolan North,John DiMaggio,Nolan North, Troy Baker,Mark Hamill
multiple,hard,Entertainment: Video Games,What device allows Tracer to manipulate her own time in the game 'Overwatch'?,Chronal Accelerator,TMD (Time Manipulation Device),Chronal Accelerator,B.L.I.N.K,Spacial Displacement Manipulator
multiple,medium,Entertainment: Video Games,"In 'Overwatch', what is the name of Mercy's 'ultimate ability'?",Valkyrie,Rocket Barrage,Molten Core,Valkyrie,Earthshatter
multiple,hard,Geography,What is the land connecting North America and South America?,Isthmus of Panama,Isthmus of Suez,Isthmus of Panama,Australasia,Urals
boolean,easy,General Knowledge,A pasodoble is a type of Italian pasta sauce.,False,,,False,True
multiple,hard,General Knowledge,"If you planted the seeds of Quercus robur, what would grow?",Trees,Grains,Trees,Vegetables,Flowers
multiple,medium,Sports,Who won the 2015 College Football Playoff (CFP) National Championship? ,Ohio State Buckeyes,Clemson Tigers,Ohio State Buckeyes,Wisconsin Badgers,Alabama Crimson Tide
multiple,hard,Science: Mathematics,What is the smallest number that can be expressed as the sum of two positive cubes in two different ways?,1729,1729,561,4104,91
boolean,medium,Science: Mathematics,"The proof for the Chinese Remainder Theorem used in Number Theory was NOT developed by its first publisher, Sun Tzu.",True,True,,,False
multiple,hard,Geography,Into which basin does the Jordan River flow into?,Dead Sea,Aral Sea,Caspian Sea,Salton Sea,Dead Sea
multiple,hard,Sports,Which year was the third Super Bowl held?,1969,1969,1970,1968,1971
multiple,easy,Entertainment: Japanese Anime & Manga,On what medium was 'Clannad' first created?,Visual novel,Anime,Light novel,Manga,Visual novel
multiple,easy,Sports,Who won the premier league title in the 2015-2016 season following a fairy tale run?,Leicester City,Stoke City,Watford,Tottenham Hotspur,Leicester City
multiple,medium,Entertainment: Board Games,"The board game, Nightmare was released in what year?",1991,1992,1991,1989,1995
multiple,medium,Entertainment: Music,Which of these bands are NOT from Australia?,The Naked and Famous,Empire of the Sun,The Naked and Famous,Tame Impala,Cut Copy
multiple,medium,Entertainment: Video Games,Marvel vs Capcom 2: New age of Heroes was released in what year?,2000,2001,1998,2000,2003
multiple,medium,Animals,What is the collective noun for rats?,Mischief,Drift,Mischief,Pack,Race
multiple,medium,Entertainment: Video Games,"In Hitman: Blood Money, what is the name of the target in the mission 'Death of a Showman'?",Joseph Clarence,Maynard John,Joseph Clarence,The Swing King,Manuel Delgado
multiple,hard,Entertainment: Video Games,"In Counter Strike: Global Offensive, what is the code implanted onto the C4 as the Terrorists plant the bomb?",7355608,7726354,7355608,7256380,7890728
multiple,hard,History,When did Canada leave the confederation to become their own nation?,"July 1st, 1867","July 1st, 1832","July 1st, 1763","July 1st, 1902","July 1st, 1867"
multiple,medium,Entertainment: Video Games,Which of the following is a character in the video game Destiny?,Cayde-6,Cayde-6,Ostrava of Boletaria,Mordecai the Hunter,Leon S. Kennedy
multiple,easy,Science: Gadgets,Which virtual assistant is developed by Amazon?,Alexa,Cortana,Alexa,Google Assistant,Siri
boolean,medium,General Knowledge,"The word 'news' originates from the first letters of the 4 main directions on a compass (North, East, West, South).",False,False,True,,
boolean,easy,Entertainment: Video Games,"In Pok&eacute;mon, Arbok evolves into Seviper.",False,,False,,True
multiple,medium,General Knowledge,Which logical fallacy means to attack the character of your opponent rather than their arguments?,Ad hominem,Post hoc ergo propter hoc,Ad hominem,Argumentum ad populum,Tu quoque
multiple,medium,Entertainment: Music,Which Toronto landmark was featured on the cover art of Canadian rapper Drake's 2016 album 'Views'?,CN Tower,Prince of Wales Theatre,CN Tower,Allan Gardens,Union Station
multiple,medium,Entertainment: Japanese Anime & Manga,What is the name of the main character of the anime 'One-Punch Man'?,Saitama,King,Sonic,Saitama,Genos
multiple,easy,Science & Nature,What animal takes part in Schr&ouml;dinger's most famous thought experiment?,Cat,Butterfly,Dog,Cat,Bat
multiple,hard,Entertainment: Music,Who had a 1981 hit with the song 'Japanese Boy'?,Aneka,Madonna,Toyah,Sandra,Aneka
multiple,medium,Geography,What is the capital of Lithuania?,Vilnius,Helsinki,Tallinn,Riga,Vilnius
multiple,medium,Entertainment: Cartoon & Animations,Adam West was the mayor of which cartoon town?,Quahog,Springfield,Quahog,Langley Falls,South Park
multiple,medium,General Knowledge,"The Fields Medal, one of the most sought after awards in mathematics, is awarded every how many years?",4,6,5,4,3
multiple,hard,Entertainment: Video Games,What is the plane of existence in MicroProse's 1997 'Magic the Gathering'?,Shandalar,Ravnica,Shandalar,Theros,Amonkhet
multiple,easy,History,The original Roman alphabet lacked the following letters EXCEPT:,X,J,X,W,U
multiple,medium,Entertainment: Video Games,"Which puzzle game was designed by a Russian programmer, featuring Russian buildings and music?",Tetris,Boulder Dash,Puzzled,Jenga,Tetris
multiple,hard,Entertainment: Music,What is the first track on the Dave Matthews Band album 'Before These Crowded Streets'?,Pantala Naga Pampa,Stay (Wasting Time),Rapunzel,Don't Drink The Water,Pantala Naga Pampa
multiple,medium,Science: Gadgets,"Out of all of the NASA Space Shuttles, which 2 have been destroyed in disasters?",Challenger and Columbia,None of the Above,Challenger and Columbia,Discovery and Endeavour,Enterprise and Atlantis
multiple,medium,Entertainment: Board Games,What special item did the creators of Cards Against Humanity ship for their Black Friday pack?,Bull Feces,Cat Urine,A Card Expansion,Bull Feces,A Racist Toy
multiple,hard,History,When was the 'Siege of Leningrad' lifted during World War II?,January 1944,March 1944,January 1944,November 1943,September 1943
multiple,hard,Entertainment: Comics,"In the Marvel Universe, the planet of Svartalfheim is home to what race?",Dark Elves,Kronans,Skrulls,Frost Giants,Dark Elves
multiple,hard,Science & Nature,What is isobutylphenylpropanoic acid more commonly known as?,Ibuprofen,Ibuprofen,Morphine,Ketamine,Aspirin
multiple,hard,General Knowledge,How many calories are in a 355 ml can of Pepsi Cola?,150,100,155,200,150
multiple,medium,Mythology,Who is the god of war in Polynesian mythology?,'Oro,Kohara,Hina,Māui,'Oro
multiple,easy,Entertainment: Books,Who wrote the novel 'Fear And Loathing In Las Vegas'?,Hunter S. Thompson,Henry Miller,Hunter S. Thompson,William S. Burroughs,F. Scott Fitzgerald
multiple,hard,Geography,The emblem on the flag of the Republic of Tajikistan features a sunrise over mountains below what symbol?,Crown,Crown,Tree,Bird,Sickle
multiple,medium,Entertainment: Video Games,Who is the main villain of the Crash Bandicoot series?,Dr. Neo Cortex,Dr. Neo Cortex,Dr. Evo-Cortex,Dr. Cortox,Sir Cartex
multiple,medium,Celebrities,What is generally considered to be William Shakespeare's birth date?,"April 23rd, 1564","July 4th, 1409","September 29th, 1699","December 1st, 1750","April 23rd, 1564"
multiple,medium,Entertainment: Video Games,"Which of these is not a character in the game, 'Lethal League'?",Rex,Sonata,Switch,Candyman,Rex
multiple,hard,Entertainment: Video Games,In the Gamecube Version of 'Resident Evil' what text document is open on the monitor of the computer in the Visual Data Room?,A GDC Document,A GDC Document,Nothing,Text Document on Herbs,Document on B.O.Ws
boolean,easy,Vehicles,The full English name of the car manufacturer BMW is Bavarian Motor Works,True,False,,,True
multiple,easy,Sports,What is the most common type of pitch thrown by pitchers in baseball?,Fastball,Fastball,Screwball,Palmball,Slowball
multiple,medium,Sports,Which car manufacturer won the 2016 24 Hours of Le Mans?,Porsche,Toyota,Ferrari,Porsche,Audi
multiple,medium,Entertainment: Video Games,"In the 'Call Of Duty: Zombies' map 'Moon', there is a secondary called the QED. What does QED stand for?",Quantum Entanglement Device,Quantum Entanglement Device,Question Every Dog,Quality Edward Device,Quad Ectoplasmic Driver
multiple,hard,Entertainment: Musicals & Theatres,Which of these plays was famously first performed posthumously after the playwright committed suicide?,4.48 Psychosis,Much Ado About Nothing,4.48 Psychosis,Hamilton,The Birthday Party
multiple,hard,Science: Mathematics,How many Millibars (mbar) to 1 Inch of Mercury (inHg),33.9,30.0,27.4,10.6,33.9
boolean,easy,Animals,Rabbits are carnivores.,False,True,False,,
boolean,hard,Geography,The two largest ethnic groups of Belgium are Flemish and Walloon. ,True,,,False,True
multiple,easy,Sports,Which team won the 2015-16 English Premier League?,Leicester City,Cheslea,Leicester City,Liverpool,Manchester United
multiple,medium,Entertainment: Video Games,The '64' in the Nintendo-64 console refers to what?,The bits in the CPU architecture,Capacity of the ROM Cartridges in megabytes,The bits in the CPU architecture,The number of megabytes of RAM,Clock speed of the CPU in Hertz
multiple,easy,General Knowledge,"What type of animal was Harambe, who was shot after a child fell into it's enclosure at the Cincinnati Zoo?",Gorilla,Crocodile,Tiger,Gorilla,Panda
multiple,medium,Entertainment: Cartoon & Animations,Who created 'RWBY'?,Monty Oum,Kerry Shawcross,Miles Luna,Shane Newville,Monty Oum
multiple,hard,Entertainment: Video Games,"In the Animal Crossing series, which flower is erroneously called the 'Jacob's Ladder'?",Lily of the Valley,Hydrangea,Yarrow,Lily of the Valley,Harebell
multiple,hard,Entertainment: Music,A Caixa Malacacheta is what kind of musical instrument which is commonly used in Latin American music?,Snare Drum,Maraca,Snare Drum,Cow Bell,Bass Drum
multiple,easy,Geography,The derisive acronym 'PIIGS' refers to which of the following European countries and their economic statuses?,"Portugal, Ireland, Italy, Greece, Spain","Portugal, Iceland, Ireland, Greece, Serbia","Poland, Iceland, Italy, Greenland, Spain","Portugal, Ireland, Italy, Greece, Spain","Poland, Iceland, Italy, Greece, Serbia"
multiple,hard,Politics,What is the name of Niccol&ograve; Machiavelli's work that argued effective leaders needed to crush their opponents at all costs?,The Prince,Love's Labours Lost,The Prince,The Rape of Lucrece,Will to Power
multiple,medium,Entertainment: Video Games,Which character is from 'Splatoon'?,Marie,Cyrus,Palutena,Marie,Shulk
multiple,medium,History,America's Strategic Defense System during the Cold War was nicknamed after this famous movie.,Star Wars,Jaws,Star Wars,Blade Runner,Alien
multiple,easy,General Knowledge,Waluigi's first appearance was in what game?,Mario Tennis 64 (N64),Wario Land: Super Mario Land 3,Mario Tennis 64 (N64),Super Smash Bros. Ultimate,Mario Party (N64)
multiple,medium,Entertainment: Japanese Anime & Manga,"In 'Puella Magi Madoka Magica', what is the first name of Madoka's younger brother?",Tatsuya,Montoya,Tatsuya,Tomohisa,Minato
boolean,medium,Entertainment: Video Games,"In 'Team Fortress 2', the 'Bill's Hat' is a reference to the game 'Dota 2'.",False,,False,,True
boolean,easy,Entertainment: Video Games,"In Heroes of the Storm, the Cursed Hollow map gimmick requires players to kill the undead to curse the enemy team.",False,,,False,True
multiple,medium,Entertainment: Video Games,Which of the following is NOT an official game in Nintendo's Super Smash Bros. series?,Super Smash Bros. Crusade,Super Smash Bros. Melee,Super Smash Bros. for Nintendo 3DS and Wii U,Super Smash Bros. Crusade,Super Smash Bros. Brawl
multiple,easy,Entertainment: Video Games,Who is the founder of Team Fortress 2's fictional company 'Mann Co'?,Zepheniah Mann,Wallace Breem,Zepheniah Mann,Cave Johnson,Saxton Hale
multiple,medium,Sports,Which nation hosted the FIFA World Cup in 2006?,Germany,United Kingdom,South Africa,Brazil,Germany
multiple,medium,Entertainment: Video Games,Which of the following Call of Duty games was a PS3 launch title?,Call of Duty 3,Call of Duty 4: Modern Warfare,Call of Duty: World at War,Call of Duty 3,Call of Duty: Roads to Victory
multiple,easy,Entertainment: Video Games,Which eSports team came first place in The International Dota 2 Championship 2016?,Wings Gaming,Evil Geniuses,Digital Chaos,Fnatic,Wings Gaming
multiple,easy,Mythology,"Who in Greek mythology, who led the Argonauts in search of the Golden Fleece?",Jason,Jason,Daedalus,Odysseus,Castor
multiple,medium,Entertainment: Video Games,Which of the following games in the Anno series introduced the 'Eco Balance' gameplay mechanic?,Anno 2070, Anno 1701,Anno 2070,Anno 2205,Anno 1404
multiple,hard,Science: Mathematics,Which of the following famous mathematicians died in a duel at the age of 20?,Galois,Euler,Galois,Abel,Gauss
multiple,medium,History,Which of the following is not in the Indo-European language family?,Finnish,Russian,Hindi,Finnish,English
multiple,easy,History,"In 1939, Britain and France declared war on Germany after it invaded which country?",Poland,Czechoslovakia,Hungary,Poland,Austria
boolean,easy,Entertainment: Board Games,Snakes and Ladders was originally created in India?,True,,True,,False
multiple,medium,Entertainment: Television,Who was the winner of the 2016 WWE Royal Rumble?,Triple H,Roman Reigns,Triple H,AJ Styles,Dean Ambrose
multiple,hard,Entertainment: Video Games,What is the real name of 'Warhead' in the Sega Genesis game 'Vectorman'?,Raster,Bitmap,Raster,Peacehead,Vectorkid
multiple,hard,Entertainment: Board Games,Which character class in Dungeons and Dragons 5th edition gains it's powers from making a pact with a being of higher power?,Warlock,Wizard,Sorceror,Warlock,Cleric
multiple,medium,Entertainment: Film,Who did the score to the original Blade Runner?,Vangelis,Yanni,Enya,Kitaro,Vangelis
multiple,easy,Entertainment: Video Games,What is the first weapon you acquire in Half-Life?,A crowbar,A crowbar,The H.E.V suit,A pistol,Your fists
boolean,medium,Entertainment: Video Games,'Return to Castle Wolfenstein' was the only game of the Wolfenstein series where you don't play as William 'B.J.' Blazkowicz.,False,True,False,,
multiple,medium,Entertainment: Music,Which of these is not a song on the album Graduation by Kanye West?,Waves,I Wonder,Waves,Big Brother,The Glory
multiple,easy,Entertainment: Video Games,How many times do you fight Gilgamesh in 'Final Fantasy 5'?,6,6,5,3,4
boolean,easy,Entertainment: Japanese Anime & Manga,Kiznaiver is an adaptation of a manga.,False,True,False,,
multiple,medium,Entertainment: Video Games,"In Terraria, which of these items is NOT crafted at a Mythril Anvil?",Ankh Charm,Orichalcum Tools,Venom Staff,Ankh Charm,Sky Fracture
multiple,hard,History,Which King of England was faced with the Peasants' Revolt in 1381?,Richard II,Edward II,Henry IV,Richard II,Edward III
boolean,medium,Geography,Liechtenstein does not have an airport.,True,True,,,False
boolean,easy,General Knowledge,The color orange is named after the fruit.,True,,False,,True
multiple,medium,Entertainment: Video Games,What is the name of the creature that the main character befriends in 'The Last Guardian'?,Trico,Andazi,Nico,Trico,Wolf
multiple,medium,Animals,What is the fastest animal?,Peregrine Falcon,Cheetah,Peregrine Falcon,Horsefly,Golden Eagle
multiple,hard,History,Who assassinated President James A. Garfield?,Charles Guiteau,Leon Czolgosz,John Wilkes Booth,Charles Guiteau,Sirhan Sirhan
multiple,medium,History,The fraudelent doctor John R. Brinkley acummulated great fame and wealth in the early 1900s offering what service?,Goat testicles transplant,Turkey breast implants,Pig blood transfusion,Goat testicles transplant,Cow liver transplant
multiple,medium,Entertainment: Video Games,In what year were screenshots added to Steam?,2011,2009,2010,2011,2008
